section,bucket,horizon,mean_rank_ic,median_rank_ic,positive_day_ratio,n_days,n_obs_total,nw_lag,nw_t_stat,nw_effective_n,sample_start,sample_end,mean_value
A5_horizon,1d,1,0.015870987509643174,0.015520452786106882,0.5372907153729072,1314,2637168,1,3.912623230361338,1282.8824209935594,2021-01-04,2026-06-09,
A5_horizon,5d,5,0.04090848637900546,0.040174123340179446,0.6285278413424866,1311,2627955,5,5.586350796043676,383.30874360992044,2021-01-04,2026-06-04,
A1_year,2021,5,0.03086066929449627,0.031148428316960828,0.6049382716049383,243,402287,5,2.19714937961795,72.08621133244411,2021-01-04,2021-12-31,
A1_year,2022,5,0.027927334135699554,0.03660228429992961,0.6322314049586777,242,479413,5,1.9461656763477724,83.66601831467507,2022-01-04,2022-12-30,
A1_year,2023,5,0.016942807527708974,0.017450476419061965,0.5867768595041323,242,447744,5,1.295228470783784,76.5192715312164,2023-01-03,2023-12-29,
A1_year,2024,5,0.06440244536531799,0.057407096868563046,0.6239669421487604,242,474030,5,2.589559613253117,65.03252045386373,2024-01-02,2024-12-31,
A1_year,2025,5,0.055560268161953655,0.0647294843959859,0.6337448559670782,243,578657,5,3.3217234956233868,74.88793941764126,2025-01-02,2025-12-31,
A1_year,2026,5,0.062492644242494955,0.05202019143203356,0.7777777777777778,99,245824,5,3.9462235880110432,39.77955970641619,2026-01-05,2026-06-04,
A2_size_neutral,log_circ_mv,5,0.037031572983246296,0.03995107214317074,0.6369183829138062,1311,2627955,5,5.861291190216633,384.9333617558771,2021-01-04,2026-06-04,
A2_size_industry_neutral_reference,log_circ_mv_plus_snapshot_industry,5,0.0360799797746517,0.03443460565771025,0.6590389016018307,1311,2604579,5,7.5243605495795505,376.8608084039288,2021-01-04,2026-06-04,
A3_market_regime,risk_neutral,5,0.0405514209018165,0.040174123340179446,0.6273352999016716,1017,2042416,5,5.348936194266662,307.8464673048069,2021-01-04,2026-06-04,
A3_market_regime,risk_off,5,0.030272623424805547,0.03396392303417869,0.5976331360946746,169,323875,5,1.1890552009260629,62.36245068308134,2021-02-04,2026-04-07,
A3_market_regime,risk_on,5,0.05819325781549307,0.06289848764068183,0.68,125,261664,5,3.7116270100432365,68.9969003313632,2021-04-07,2026-05-13,
A4_bucket_contribution,top_decile_mean,5,,,,1311,2627955,5,2.0665973330608653,398.0069187434357,2021-01-04,2026-06-04,0.001783656813404662
A4_bucket_contribution,bottom_decile_mean,5,,,,1311,2627955,5,-6.936600209107744,420.70708164318796,2021-01-04,2026-06-04,-0.005702604845517313
A4_bucket_contribution,top_decile_minus_bottom_decile,5,,,,1311,2627955,5,5.084896939386041,401.97445937954484,2021-01-04,2026-06-04,0.007486261658921974
A4_bucket_contribution,top_5pct_mean,5,,,,1311,2627955,5,1.6024972907173318,409.19452569974305,2021-01-04,2026-06-04,0.0017169510058258628
A4_bucket_contribution,top_half_minus_bottom_half,5,,,,1311,2627955,5,3.4019365922718574,408.9211429777494,2021-01-04,2026-06-04,0.0023535671260115406
A4_bucket_contribution,short_side_abs_contribution_share,5,,,,1311,2627955,5,48.836360635860004,574.1477395417966,2021-01-04,2026-06-04,0.5251307972996958
A5_horizon,10d,10,0.04701108935054188,0.04866706911417004,0.6355283307810107,1306,2614357,10,4.419363962028323,205.79800519183186,2021-01-04,2026-05-28,
A5_horizon,20d,20,0.04921460806511653,0.04495851083678533,0.628858024691358,1296,2588778,20,3.486564876907847,123.92346943766599,2021-01-04,2026-05-14,
